20211	"SES 128-CW-TAC2 "
20212	"SES 129-CW-TAC3 "
20213	"SES 130-CW-TAC4 "
20214	"SES 131-CW-TAC5 "
20215	"SES 133-CWSTRAT "
20216	"SES 135-FW-TAC1 "
20217	"SES 136-FW-TAC2 "
20218	"SES 137-FW-TAC3 "
20219	"SES 138-FW-TAC4 "
20220	"SES 139-FW-TAC5 "
20221	"SES 140-FW-TAC6 "
20222	"SES 142-FWSTRAT "
20223	"SES 155-HU-TAC1 "
20224	"SES 156-HU-TAC2 "
20225	"SES 157-HU-TAC3 "
20226	"SES 158-HU-TAC4 "
20227	"SES 159-HU-TAC5 "
20228	"SES 160-HU-TAC6 "
20229	"SES 162-HUSTRAT "
20230	"SES 173-LA-TAC1 "
20231	"SES 174-LA-TAC2 "
20232	"SES 175-LA-TAC3 "
20233	"SES 176-LA-TAC4 "
20234	"SES 177-LA-TAC5 "
20235	"SES 178-LA-TAC6 "
20236	"SES 180-LASTRAT "
20237	"SES 1129-NM-TAC1 "
20238	"SES 1130-NM-TAC2 "
20239	"SES 1131-NM-TAC3 "
20240	"SES 1132-NM-TAC4 "
20241	"SES 1133-NM-TAC5 "
20242	"SES 1134-NM-TAC6 "
20243	"SES 1136-NMSTRAT "
20244	"SES 1144-NW-TAC1 "
20245	"SES 1145-NW-TAC2 "
20246	"SES 1146-NW-TAC3 "
20247	"SES 1147-NW-TAC4 "
20248	"SES 1148-NW-TAC5 "
20249	"SES 1149-NW-TAC6 "
20250	"SES 1150-NW-TAC7 "
20251	"SES 1151-NW-TAC8 "
20252	"SES 1153-NWSTRAT "
20253	"SES 1165-OX-TAC1 "
20254	"SES 1166-OX-TAC2 "
20255	"SES 1167-OX-TAC3 "
20256	"SES 1168-OX-TAC4 "
20257	"SES 1169-OX-TAC5 "
20258	"SES 1170-OX-TAC6 "
20259	"SES 1171-OX-TAC7 "
20260	"SES 1172-OX-TAC8 "
20261	"SES 1174-OXSTRAT "
20262	"SES 1185-RT-TAC1 "
"20263"	"SES 1186-RT-TAC2 "
20264	"SES 1187-RT-TAC3 "
20265	"SES 1188-RT-TAC4 "
20266	"SES 1189-RT-TAC5 "
20267	"SES 1190-RT-TAC6 "
"20268"	"SES 1191-RT-TAC7 "
20269	"SES 1192-RT-TAC8 "
20270	"SES 1194-RTSTRAT "
30201	"SES 163-IS-TAC1 "
30202	"SES 164-IS-TAC2 "
30203	"SES 165-IS-TAC3 "
30204	"SES 166-IS-TAC4 "
30205	"SES 167-IS-TAC5 "
30206	"SES 168-IS-TAC6 "
30207	"SES 169-IS-TAC7 "
30208	"SES 170-IS-TAC8 "
30209	"SES 172-ISSTRAT "
30210	"SES 181-ME-TAC1 "
30211	"SES 182-ME-TAC2 "
30212	"SES 183-ME-TAC3 "
30213	"SES 184-ME-TAC4 "
30214	"SES 185-ME-TAC5 "
30215	"SES 186-ME-TAC6 "
30216	"SES 187-ME-TAC7 "
30217	"SES 188-ME-TAC8 "
30218	"SES 190-MESTRAT "
30219	"SES 1101-MQ-TAC1 "
30220	"SES 1102-MQ-TAC2 "
30221	"SES 1103-MQ-TAC3 "
30222	"SES 1104-MQ-TAC4 "
30223	"SES 1105-MQ-TAC5 "
30224	"SES 1106-MQ-TAC6 "
30225	"SES 1108-MQSTRAT "
30226	"SES 1109-MY-TAC1 "
30227	"SES 1110-MY-TAC2 "
30228	"SES 1111-MY-TAC3 "
30229	"SES 1112-MY-TAC4 "
30230	"SES 1113-MY-TAC5 "
30231	"SES 1114-MY-TAC6 "
30232	"SES 1116-MYSTRAT "
30233	"SES 1209-SH-TAC1 "
30234	"SES 1210-SH-TAC2 "
30235	"SES 1211-SH-TAC3 "
30236	"SES 1212-SH-TAC4 "
30237	"SES 1213-SH-TAC5 "
30238	"SES 1214-SH-TAC6 "
30239	"SES 1215-SH-TAC7 "
30240	"SES 1216-SH-TAC8 "
30241	"SES 1218-SHSTRAT "
